trial_number,combined_score,final_similarity,univariate_similarity,bivariate_similarity,acc_tstr,acc_tsts,acc_trtr,acc_trts,avg_accuracy,lr_d,lr_g,hidden_feature_space,batch_size,nr_of_rows,binary_noise,epochs,trial_state,trial_duration
9,0.7681306879509147,0.7967870140312516,0.779569352796406,0.8369615569125584,0.3742690058479532,0.9649122807017544,0.8713450292397661,0.6900584795321637,0.7251461988304093,1.7345566642360933e-05,0.0002669866674274,350,64,25,0.1076257380232285,1000,1,51.141689
0,0.8257113398498173,0.8586417067672392,0.8726799388105512,0.8258858319995113,0.7309941520467836,0.9239766081871345,0.8713450292397661,0.5789473684210527,0.7763157894736842,5.6115164153345e-05,0.0007969454818643,350,256,25,0.2803345035229627,2500,1,239.282407
1,0.7574530309704117,0.7614470594146239,0.7443971028688107,0.8012302913548549,0.543859649122807,0.9239766081871345,0.8713450292397661,0.6666666666666666,0.7514619883040935,1.0994335574766188e-05,0.0008706020878304,350,256,25,0.2295835055926347,1500,1,76.525443
2,0.5752994366136539,0.5543489635568696,0.5097502033681538,0.65841273733054,0.6140350877192983,0.7309941520467836,0.8713450292397661,0.2105263157894736,0.6067251461988303,0.0001673808578875,1.9010245319870364e-05,200,100,25,0.2777243706586128,1000,1,36.260836
3,0.6491648185318499,0.5829160230891455,0.5121411036711887,0.7480575017310445,0.3157894736842105,0.8830409356725146,0.8713450292397661,0.9239766081871345,0.7485380116959064,0.0001640928673064,2.193048555664368e-05,100,64,25,0.3052699079536471,2000,1,77.583012
4,0.732998960906819,0.7850177613554196,0.800260272207814,0.7494519026998326,0.5614035087719298,0.6900584795321637,0.8713450292397661,0.4970760233918128,0.6549707602339181,1.7541893487450798e-05,9.7803370166594e-05,100,32,25,0.2640130838029839,1000,1,35.533944
5,0.8723667125758612,0.8740224936693204,0.93105959202779,0.7409359308328913,0.8304093567251462,0.9064327485380116,0.8713450292397661,0.8713450292397661,0.8698830409356725,0.0008692991511139,0.0003550304858128,400,100,25,0.1135681866731614,1500,1,82.406344
6,0.787761829483185,0.7953925228228522,0.8299474371897825,0.7147643893000153,0.783625730994152,0.8128654970760234,0.8713450292397661,0.6374269005847953,0.7763157894736842,5.989003672254293e-05,3.488976654890367e-05,350,256,25,0.1223651931039312,3000,1,161.724558
7,0.6027943088297268,0.566060690154808,0.503139642660878,0.7128764676406446,0.2748538011695906,0.8304093567251462,0.8713450292397661,0.6549707602339181,0.6578947368421052,0.0003503398491158,2.497073714505272e-05,100,32,25,0.2075397185632818,1000,1,39.767127
8,0.866774587405814,0.8812714858323021,0.914522710507902,0.8036852949225693,0.8245614035087719,0.8830409356725146,0.8713450292397661,0.8011695906432749,0.8450292397660819,0.0005323617594751,0.0001764396768338,200,128,25,0.366163822772898,2000,1,87.885767
9,0.7628033367420248,0.7537950349209187,0.7475525703821871,0.7683607855112926,0.6608187134502924,0.9064327485380117,0.8713450292397661,0.6666666666666666,0.7763157894736842,1.7345566642360933e-05,0.0002669866674274458,350,64,25,0.10762573802322856,1000,1,49.791687
